platformLink,uni,title,degType,campus,duration,tuition,about,uniRank,languages,ects,city,country,toefl,ielts,gmat,gre,origLink,applyBy,startDate,disciplines
https://www.mastersportal.com/studies/197395/,Lahore University of Management Sciences (LUMS),Economics,M.Sc.,On Campus,1½ years,"3,477",Economics from Lahore University of Management Sciences (LUMS) helps you take advantage of an unparalleled learning opportunity to pursue a state-of-the-art rigorous programme.,651st ,English,30 alternative credits,Lahore,Pakistan,.,.,.,   Required   ,.,07/05/2021,02/09/2021,Economics
https://www.mastersportal.com/studies/84822/,University of Zurich,Geography - Human Geography,M.Sc.,On Campus,1½ years,"1,336","This Geography - Human Geography major program from University of Zurich offers an in-depth subject-specific focus and guides students towards applied research. Students learn to apply theories, methods and approaches from certain fields in Geography to problems in research and practice, and to critically classify and reflect on these. ",56th ,English,90 ECTS,Zürich,Switzerland,     100      ,     7      ,.,.,.,28/02/2021,20/09/2021,"Economics, Geography"
https://www.mastersportal.com/studies/265439/,National Taiwan University of Science and Technology (Taiwan Tech),Finance,Master,On Campus,1 year,574,"The Finance program offered by National Taiwan University of Science and Technology is committed to be a premier graduate institute of finance in the region and one of the best in the nation, with excellence and continuous improvement in finance education. ",267th ,English,30 alternative credits,Taipei,Taiwan,.,.,.,.,.,31/10/2021,17/02/2022,"Economics, Business Administration, Finance"
https://www.mastersportal.com/studies/190715/,University of Amsterdam,Economics - Public Policy,M.Sc.,On Campus,1 year,"2,143",In the Economics - Public Policy from University of Amsterdam you learn how to apply the latest economic theory and research methods to help governments intervene in the economy. ,61st ,English,60 ECTS,Amsterdam,Netherlands,     92      ,     6.5      ,     640      ,     158  (quantitative)      ,.,01/05/2021,03/09/2021,"Economics, Public Policy"
https://www.mastersportal.com/studies/194929/,Far Eastern Federal University (FEFU),"Russia in the Asia-Pacific - Economics, Politics, Security",M.A.,On Campus,2 years,"3,471","Russia in the Asia-Pacific - Economics, Politics, Security from Far Eastern Federal University (FEFU) is administered by FEFU's Oriental Institute - School Of Regional and International Studies.  ",493rd ,English,120 alternative credits,Vladivostok,Russia,.,.,.,.,.,07/08/2021,01/09/2021,"Economics, Political Science, Terrorism & Security"
https://www.mastersportal.com/studies/109126/,Maastricht University,Econometrics and Operations Research - Mathematical Economics,M.Sc.,On Campus,1 year,"2,143","Mathematical methods can be used to solve a whole range of business problems, from a company’s finances to the organisation of its people. In order to do this strategically, the Econometrics and Operations Research - Mathematical Economics track at Maastricht University looks at theories and models that can help you make the right decisions. ",121st ,English,60 ECTS,Maastricht,Netherlands,     90      ,     6.5      ,     500      ,     4  (analytical)      ,.,01/06/2021,01/09/2021,"Economics, Mathematics"
https://www.mastersportal.com/studies/129887/,University of Memphis,Economics,M.A.,On Campus,1 year,579,"In the MA in Economics program at the University of Memphis, you will acquire a solid foundation in economic theory and analysis. ",801st ,English,30 alternative credits,Memphis,.,     79      ,     6      ,.,.,.,01/04/2021,13/05/2021,Economics
https://www.mastersportal.com/studies/94223/,McGill University,Economics,M.A.,On Campus,2 years,424,The Department of Economics at McGill University offers M.A. and Ph.D. programs that attract students from all over the world.,31st ,English,45 alternative credits,Québec,Canada,     86      ,     6.5      ,.,   Required   ,.,.,04/01/2022,Economics
https://www.mastersportal.com/studies/55806/,Penn State World Campus,Professional Studies in Community and Economic Development,Master,Online,1 year,760,"Professional Studies in Community and Economic Development from Penn State World Campus enables you to more effectively implement community and economic development by building on the knowledge and skills you need to assist regions, communities, and community organizations.",.,English,30 alternative credits,University Park,.,     80      ,     6.5      ,.,.,.,15/03/2021,18/05/2021,"Economics, Sustainable Development"
https://www.mastersportal.com/studies/248506/,University Putra Malaysia,Engineering Management,M.Sc.,On Campus,1½ years,"2,411","Engineering Management at the University Putra Malaysia is concerned with the design, improvement, and implementation of integrated systems of people, material, information, equipment, and energy. ",132nd ,English,40 alternative credits,Bandar Labuan,Malaysia,     80      ,     6      ,.,.,.,30/04/2021,01/09/2021,"Economics, Industrial & Systems Engineering"
https://www.mastersportal.com/studies/73715/,Johns Hopkins University,Applied Economics,Master,On Campus,3 years,"2,509",The Master of Business Administration/Master of Science in Applied Economics from Johns Hopkins University equips students to excel in careers blending business and economics. ,12nd ,English,66 alternative credits,Baltimore,.,     100      ,     7      ,   Required   ,   Required   ,.,.,31/08/2021,"Economics, Business Administration"
https://www.mastersportal.com/studies/160725/,The City University of New York,Economics and Business,M.A.,On Campus,1 year,703,"The MA program in Economics and Business at The City University of New York prepares students with the theoretical and analytical methods that can be applied to business and management positions, finance, public policy and international institutions. ",651st ,English,30 alternative credits,New York City,.,     80      ,     6.5      ,.,.,.,20/04/2021,27/08/2021,Economics
https://www.mastersportal.com/studies/32498/,University of Amsterdam,Business Economics: Managerial Economics and Strategy,M.Sc.,On Campus,1 year,"2,143",The Business Economics: Managerial Economics and Strategy from University of Amsterdam teaches you how to make the right organisational and financial decisions for organisations. ,61st ,English,60 ECTS,Amsterdam,Netherlands,     92      ,     6.5      ,   Required   ,     158  (quantitative)      ,.,01/05/2021,03/09/2021,"Economics, Business Administration"
