Index;country;city;uni;title;uniRank.1;tuition;tuitiontype; favorite; quant;disciplines;startDate;applyBy;DaysLeft;degType;campus;duration;toefl;ielts;gmat;gre;languages;ects;platformLink;about;origLink
441;Spain;Barcelona;Barcelona Graduate School of Economics;Finance ;;16.500,00 €;year;;;Economics, Finance, Data Science & Big Data;01/09/2021;30/06/2021;159;Master;On Campus;9 months;90;6,5;.;   Required   ;English;60 ECTS;https://www.mastersportal.com/studies/285199/;The increasing complexity of financial markets demands greater modeling techniques and a deeper understanding of financial data. The Finance Program of the Master's in Economics and Finance at the Barcelona GSE is designed to prepare you for these challenges.;https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.barcelonagse.eu%2Fstudy%2Fmasters-programs%2Ffinance%3Futm_source%3DStudyportals%26utm_medium%3Dlisting%26utm_campaign%3DMasters2122%26utm_term%3DSeptember&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIyODUxOTkiLCJkIjoiRmluYW5jZSIsImwiOiJwcmVtaXVtIn0sInMiOm51bGwsInUiOnsiaSI6IjE3Mi4zMC44LjEyMSIsInMiOiI0NTc5YWE5Yi1jM2ViLTRjZDMtYjQ0Yi0xY2VmNDAxYjk2MjgiLCJsIjoiZW4tR0IiLCJjIjoiZGUifSwiZiI6W3siYSI6ImNsaWMiLCJ0IjoibGluayIsImkiOiIyMTQwNTg1IiwiZCI6Imh0dHBzOi8vd3d3LmJhcmNlbG9uYWdzZS5ldS9zdHVkeS9tYXN0ZXJzLXByb2dyYW1zL2ZpbmFuY2U%2FdXRtX3NvdXJjZT1TdHVkeXBvcnRhbHMmdXRtX21lZGl1bT1saXN0aW5nJnV0bV9jYW1wYWlnbj1NYXN0ZXJzMjEyMiZ1dG1fdGVybT1TZXB0ZW1iZXIiLCJsIjoicmV2ZW51ZSIsImV4Ijp7InB0IjoicCJ9fV19&taps=null&duid=7a04dfaf-dd94-44d4-81ad-90c24396ca46&sid=24cd045d-0fca-4d23-98b4-fbe85d97ca6d
442;.;Guildford;The University of Law Business School;Global Accounting Online ;;10.157,00 €;year;;;Business Administration, Finance, Accounting;01/04/2021;;;M.Sc.;Online;1 year;;;.;.;English;Online;https://www.mastersportal.com/studies/283330/;The Global Accounting Online programme fromThe University of Law Business School is designed so that you can complete your course in a 12 month period. ;https://sl.prtl.co/track/click/?target=https%3A%2F%2Fgus.webosaurus.co.uk%2Finbound%2Fclick%3FctID%3DMTUwOA%253D%253D&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIyODMzMzAiLCJkIjoiR2xvYmFsIEFjY291bnRpbmcgT25saW5lIiwibCI6InByZW1pdW0ifSwicyI6bnVsbCwidSI6eyJpIjoiMTcyLjMwLjguMTIxIiwicyI6IjQ1NzlhYTliLWMzZWItNGNkMy1iNDRiLTFjZWY0MDFiOTYyOCIsImwiOiJlbi1HQiIsImMiOiJkZSJ9LCJmIjpbeyJhIjoiY2xpYyIsInQiOiJsaW5rIiwiaSI6IjIxMzg2MzgiLCJkIjoiaHR0cHM6Ly9ndXMud2Vib3NhdXJ1cy5jby51ay9pbmJvdW5kL2NsaWNrP2N0SUQ9TVRVd09BJTNEJTNEIiwibCI6InJldmVudWUiLCJleCI6eyJwdCI6InAifX1dfQ%3D%3D&taps=null&duid=7a04dfaf-dd94-44d4-81ad-90c24396ca46&sid=24cd045d-0fca-4d23-98b4-fbe85d97ca6d
446;Spain;Barcelona;GBSB Global Business School;Finance ;;13.490,00 €;full;;;Economics, Business Administration, Finance;13/04/2021;;;Master;Online;9 months;79;6;.;.;English;60 ECTS;https://www.mastersportal.com/studies/292252/;The curriculum of the Online Master in Finance from GBSB Global Business School delves into core topics pertaining to banking, investments, investment banking, company evaluations, accounting, and financial analysis.;https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.global-business-school.org%2Finfo%2Fprogram_description%2Fmasters-degree-programs%2Fmsc-in-finance-online%3Futm_source%3Dstudyportals%26utm_medium%3Dlink&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIyOTIyNTIiLCJkIjoiRmluYW5jZSIsImwiOiJwcmVtaXVtIn0sInMiOm51bGwsInUiOnsiaSI6IjE3Mi4zMC44LjEyMSIsInMiOiI0NTc5YWE5Yi1jM2ViLTRjZDMtYjQ0Yi0xY2VmNDAxYjk2MjgiLCJsIjoiZW4tR0IiLCJjIjoiZGUifSwiZiI6W3siYSI6ImNsaWMiLCJ0IjoibGluayIsImkiOiIyMTQ3ODI2IiwiZCI6Imh0dHBzOi8vd3d3Lmdsb2JhbC1idXNpbmVzcy1zY2hvb2wub3JnL2luZm8vcHJvZ3JhbV9kZXNjcmlwdGlvbi9tYXN0ZXJzLWRlZ3JlZS1wcm9ncmFtcy9tc2MtaW4tZmluYW5jZS1vbmxpbmU%2FdXRtX3NvdXJjZT1zdHVkeXBvcnRhbHMmdXRtX21lZGl1bT1saW5rIiwibCI6InJldmVudWUiLCJleCI6eyJwdCI6InAifX1dfQ%3D%3D&taps=null&duid=7a04dfaf-dd94-44d4-81ad-90c24396ca46&sid=24cd045d-0fca-4d23-98b4-fbe85d97ca6d
447;Poland;Warsaw;Kozminski University;Finance and Accounting ;;5.520,00 €;year;;;Business Administration, Finance, Accounting;15/10/2021;30/09/2021;251;M.Sc.;On Campus;2 years;87;6;.;.;English;On Campus;https://www.mastersportal.com/studies/14377/;The Master in Finance and Accounting programme from Kozminski University is designed in close cooperation with practitioners - representatives of companies and financial institutions. It delivers in-depth specialized knowledge and develops skills of analyzing complex business problems through combining financial and accounting information with knowledge from other areas. ;https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.kozminski.edu.pl%2Fmif%2F%3Futm_source%3DStudyPortals%26utm_medium%3DCPC%26utm_campaign%3DMASTER-FINANCE_STUDYPORTALS_CLICKS&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIxNDM3NyIsImQiOiJGaW5hbmNlIGFuZCBBY2NvdW50aW5nIiwibCI6InByZW1pdW0ifSwicyI6bnVsbCwidSI6eyJpIjoiMTcyLjMwLjguMTIxIiwicyI6IjQ1NzlhYTliLWMzZWItNGNkMy1iNDRiLTFjZWY0MDFiOTYyOCIsImwiOiJlbi1HQiIsImMiOiJkZSJ9LCJmIjpbeyJhIjoiY2xpYyIsInQiOiJsaW5rIiwiaSI6IjE4NzY5NDMiLCJkIjoiaHR0cHM6Ly93d3cua296bWluc2tpLmVkdS5wbC9taWYvP3V0bV9zb3VyY2U9U3R1ZHlQb3J0YWxzJnV0bV9tZWRpdW09Q1BDJnV0bV9jYW1wYWlnbj1NQVNURVItRklOQU5DRV9TVFVEWVBPUlRBTFNfQ0xJQ0tTIiwibCI6InJldmVudWUiLCJleCI6eyJwdCI6InAifX1dfQ%3D%3D&taps=null&duid=7a04dfaf-dd94-44d4-81ad-90c24396ca46&sid=24cd045d-0fca-4d23-98b4-fbe85d97ca6d
1820;.;Manchester;INTO Manchester;Pre-Master's - Finance and Econometrics;;;;;;Economics, Finance, Econometrics;28/09/2021;;;Pre-Master;Blended;½ year;;5,5;.;.;English;Blended;https://www.mastersportal.com/studies/301904/;The Pre-Master's - Finance and Econometrics program at INTO Manchester is an intermediary step towards studying a Master’s degree at this university.;.
1821;Turkey;Ankara;Bilkent University;Economics;551;6.315,00 €;year ;;;Economics, Finance;23/09/2021;22/04/2021;90;M.A.;On Campus;2 years;87;;.;   Required   ;English;120 ECTS;https://www.mastersportal.com/studies/1112/;The curriculum of the Economics programme from Bilkent University aims to prepare the students toward a Ph.D. degree. However, elective courses and a thesis study in the 2nd year gives the students the opportunity to over take practical training, preparing them for jobs in the government or private sector.;.
460;Spain;Barcelona;Barcelona Graduate School of Economics;International Trade, Finance and Development ;;16.500,00 €;year;;;Economics, Finance, International Development;01/09/2021;30/06/2021;159;Master;On Campus;9 months;90;6,5;.;   Required   ;English;60 ECTS;https://www.mastersportal.com/studies/285201/;The International Trade, Finance and Development programme at Barcelona Graduate School of Economics is a demanding master program that combines rigorous analytical training with a focus on policy.;https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.barcelonagse.eu%2Fstudy%2Fmasters-programs%2Finternational-trade-finance-and-development%3Futm_source%3DStudyportals%26utm_medium%3Dlisting%26utm_campaign%3DMasters2122%26utm_term%3DSeptember&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIyODUyMDEiLCJkIjoiSW50ZXJuYXRpb25hbCBUcmFkZSwgRmluYW5jZSBhbmQgRGV2ZWxvcG1lbnQiLCJsIjoicHJlbWl1bSJ9LCJzIjpudWxsLCJ1Ijp7ImkiOiIxNzIuMzAuOC4xMjEiLCJzIjoiMjY0YWJhNjktYTgwZi00ZTQ4LTg4MDYtYmJjZWE5ZWY0MTcxIiwibCI6ImVuLUdCIiwiYyI6ImRlIn0sImYiOlt7ImEiOiJjbGljIiwidCI6ImxpbmsiLCJpIjoiMjE0MDU4OCIsImQiOiJodHRwczovL3d3dy5iYXJjZWxvbmFnc2UuZXUvc3R1ZHkvbWFzdGVycy1wcm9ncmFtcy9pbnRlcm5hdGlvbmFsLXRyYWRlLWZpbmFuY2UtYW5kLWRldmVsb3BtZW50P3V0bV9zb3VyY2U9U3R1ZHlwb3J0YWxzJnV0bV9tZWRpdW09bGlzdGluZyZ1dG1fY2FtcGFpZ249TWFzdGVyczIxMjImdXRtX3Rlcm09U2VwdGVtYmVyIiwibCI6InJldmVudWUiLCJleCI6eyJwdCI6InAifX1dfQ%3D%3D&taps=null&duid=267ebd15-77cc-4648-812b-417ea122d697&sid=9448750c-73ab-48a8-bc73-0ca46711dba2
461;Switzerland;Zürich;Robert Kennedy College;Online Financial Services Management ;;13.950,00 €;year;;;Finance, Management, Organisation & Leadership;;;;M.Sc.;Online;1 year;;6,5;.;.;English;180 alternative credits;https://www.mastersportal.com/studies/256999/;This Online Financial Services Management at Robert Kennedy College offers you an exciting opportunity to join one of the world’s most dynamic growth sectors, with relevance to areas including property, transport, shipping insurance, credit cards, wealth management and home and commercial mortgages.;https://sl.prtl.co/track/click/?target=https%3A%2F%2Fsalford.rkc.edu%2Fcatalogue%3Fr%3DmscFSM%26j%3Dstudyportals&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIyNTY5OTkiLCJkIjoiT25saW5lIEZpbmFuY2lhbCBTZXJ2aWNlcyBNYW5hZ2VtZW50IiwibCI6InByZW1pdW0ifSwicyI6bnVsbCwidSI6eyJpIjoiMTcyLjMwLjguMTIxIiwicyI6Ijg0ZDliYTgzLTIzN2MtNGE4OS1iMDBiLWZhMjE5MTkyOWIwZCIsImwiOiJlbi1HQiIsImMiOiJkZSJ9LCJmIjpbeyJhIjoiY2xpYyIsInQiOiJsaW5rIiwiaSI6IjIxMTAxNzYiLCJkIjoiaHR0cHM6Ly9zYWxmb3JkLnJrYy5lZHUvY2F0YWxvZ3VlP3I9bXNjRlNNJmo9c3R1ZHlwb3J0YWxzIiwibCI6InJldmVudWUiLCJleCI6eyJwdCI6InAifX1dfQ%3D%3D&taps=null&duid=4bb18ab9-0bd4-486d-aa3f-42f67e1b4c14&sid=708e375e-83cd-433d-b0bf-041a2215a316
466;Spain;Barcelona;Barcelona Campus - Geneva Business School;International Management with specialization in International Relations ;;10.900,00 €;year;;;Finance;01/09/2021;21/07/2021;180;Master;On Campus;1½ years;74;6,5;.;.;English;90 ECTS;https://www.mastersportal.com/studies/212642/;Gain advanced-level business skills to make a real impact as you begin your career;https://sl.prtl.co/track/click/?target=https%3A%2F%2Fprograms.gbsge.com%2Fpostgraduate-degree%3Futm_source%3DStudyPortals%26utm_medium%3Dprofile%26utm_campaign%3DMIM_InternationalRelations_BCN_page&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIyMTI2NDIiLCJkIjoiSW50ZXJuYXRpb25hbCBNYW5hZ2VtZW50IHdpdGggc3BlY2lhbGl6YXRpb24gaW4gSW50ZXJuYXRpb25hbCBSZWxhdGlvbnMiLCJsIjoicHJlbWl1bSJ9LCJzIjpudWxsLCJ1Ijp7ImkiOiIxNzIuMzAuOC4xMjEiLCJzIjoiODRkOWJhODMtMjM3Yy00YTg5LWIwMGItZmEyMTkxOTI5YjBkIiwibCI6ImVuLUdCIiwiYyI6ImRlIn0sImYiOlt7ImEiOiJjbGljIiwidCI6ImxpbmsiLCJpIjoiMjA1OTIwOCIsImQiOiJodHRwczovL3Byb2dyYW1zLmdic2dlLmNvbS9wb3N0Z3JhZHVhdGUtZGVncmVlP3V0bV9zb3VyY2U9U3R1ZHlQb3J0YWxzJnV0bV9tZWRpdW09cHJvZmlsZSZ1dG1fY2FtcGFpZ249TUlNX0ludGVybmF0aW9uYWxSZWxhdGlvbnNfQkNOX3BhZ2UiLCJsIjoicmV2ZW51ZSIsImV4Ijp7InB0IjoicCJ9fV19&taps=null&duid=4bb18ab9-0bd4-486d-aa3f-42f67e1b4c14&sid=708e375e-83cd-433d-b0bf-041a2215a316
501;Italy;Florence;European School of Economics;Finance;;24.000,00 €;year;;;Economics, Finance, Accounting;01/04/2021;;;M.Sc.;On Campus;1 year;90;6,5;.;.;English;90 ECTS;https://www.mastersportal.com/studies/241590/;The Master in Finance at the European School of Economics prepares fund managers and professional investment analysts for entrance into the banking and finance sector. The course examines the principles of financing and investment decisions and their impact across a broad range of contemporary management concerns.;.
