Index;country;city;uni;title;uniRank.1;tuition;tuitiontype; favorite; quant;disciplines;startDate;applyBy;DaysLeft;degType;campus;duration;toefl;ielts;gmat;gre;languages;ects;platformLink;about;origLink
33;Netherlands;Nijmegen;Radboud University;Economics ;101;2.168,00 €;year;;;Economics, Finance, Financial Mathematics;01/09/2021;01/07/2021;160;M.Sc.;On Campus;1 year;90;6,5;.;.;English;60 ECTS;https://www.mastersportal.com/studies/16693/;Economists also examine consumers’, businesses’ and governmental financial behaviour and decision-making. Within the Master's in Economics programme at Radboud University, you have a choice between seven Master's specialisations.;https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.ru.nl%2Fmasters%2Feconomics%3Futm_source%3Dmastersportal.eu%26utm_medium%3Dprofielpagina%26utm_term%3Deconomics%26utm_campaign%3Dmastersportal-portal&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIxNjY5MyIsImQiOiJFY29ub21pY3MiLCJsIjoicHJlbWl1bSJ9LCJzIjpudWxsLCJ1Ijp7ImkiOiIxNzIuMzAuOC4xMjEiLCJzIjoiMTIxNDgyZTktMWE1Ni00NDI3LThlYTUtN2VmODcwZTBhZDg4IiwibCI6ImVuLUdCIiwiYyI6ImRlIn0sImYiOlt7ImEiOiJjbGljIiwidCI6ImxpbmsiLCJpIjoiMTk5NTE4OCIsImQiOiJodHRwczovL3d3dy5ydS5ubC9tYXN0ZXJzL2Vjb25vbWljcz91dG1fc291cmNlPW1hc3RlcnNwb3J0YWwuZXUmdXRtX21lZGl1bT1wcm9maWVscGFnaW5hJnV0bV90ZXJtPWVjb25vbWljcyZ1dG1fY2FtcGFpZ249bWFzdGVyc3BvcnRhbC1wb3J0YWwiLCJsIjoicmV2ZW51ZSIsImV4Ijp7InB0IjoicCJ9fV19&taps=null&duid=7ee6825c-15cb-432a-a55d-ba1625d19c77&sid=cafb5095-e923-4b5e-8b18-bbd43d4b551e
123;Netherlands;Amsterdam;Vrije Universiteit Amsterdam;Finance - Duisenberg Honours Programme in Finance and Technology ;101;2.168,00 €;year;;;Finance, Technology Management, General Engineering & Technology;01/09/2021;01/06/2021;130;M.Sc.;On Campus;1 year;92;6,5;.;.;English;84 ECTS;https://www.mastersportal.com/studies/273146/;The Finance - Duisenberg Honours Programme in Finance and Technology from Vrije Universiteit Amsterdam trains you to master traditional finance techniques in combination with developments in data science. ;https://sl.prtl.co/track/click/?target=https%3A%2F%2Fvuweb.vu.nl%2Fen%2Feducation%2Fmaster%2Ffinance-duisenberg-honours-programme-in-finance-and-technology%3Futm_source%3Dmastersportal%26utm_medium%3Dcpc%26utm_campaign%3Dbaseline&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIyNzMxNDYiLCJkIjoiRmluYW5jZSAtIER1aXNlbmJlcmcgSG9ub3VycyBQcm9ncmFtbWUgaW4gRmluYW5jZSBhbmQgVGVjaG5vbG9neSIsImwiOiJwcmVtaXVtIn0sInMiOm51bGwsInUiOnsiaSI6IjE3Mi4zMC44LjEyMSIsInMiOiI2Mjg4ZWYxYi1lYTk2LTQyZmUtOThlMS04YjFhMjExZjA0YWUiLCJsIjoiZW4tR0IiLCJjIjoiZGUifSwiZiI6W3siYSI6ImNsaWMiLCJ0IjoibGluayIsImkiOiIyMTI3MjQzIiwiZCI6Imh0dHBzOi8vdnV3ZWIudnUubmwvZW4vZWR1Y2F0aW9uL21hc3Rlci9maW5hbmNlLWR1aXNlbmJlcmctaG9ub3Vycy1wcm9ncmFtbWUtaW4tZmluYW5jZS1hbmQtdGVjaG5vbG9neT91dG1fc291cmNlPW1hc3RlcnNwb3J0YWwmdXRtX21lZGl1bT1jcGMmdXRtX2NhbXBhaWduPWJhc2VsaW5lIiwibCI6InJldmVudWUiLCJleCI6eyJwdCI6InAifX1dfQ%3D%3D&taps=null&duid=14ca07da-483f-4af8-9208-158a0c700935&sid=fe7f579b-614a-4c70-8230-2ef637e60c90
396;Ireland;Maynooth;Maynooth University;Accounting ;401;6500;year;;;Mathematics, Finance, Accounting;23/09/2021;31/07/2021;190;M.A.;On Campus;1 year;95;6,5;.;.;English;60 ECTS;https://www.mastersportal.com/studies/256189/;This Accounting programme at Maynooth University is a one year full-time programme designed for honours Accounting graduates who have exemptions from CAP1 examinations of Chartered Accountants Ireland, and who wish to pursue a professional accounting qualification.;https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.maynoothuniversityinternational.com%2Fprogrammes%2Fmasters-degrees%2Fma-accounting%2F&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIyNTYxODkiLCJkIjoiQWNjb3VudGluZyIsImwiOiJwcmVtaXVtIn0sInMiOm51bGwsInUiOnsiaSI6IjE3Mi4zMC44LjEyMSIsInMiOiJlZWMyZjMxMC1hMjJmLTQyMDUtYTE2Yy00MmFhMGNmNWZjNzQiLCJsIjoiZW4tR0IiLCJjIjoiZGUifSwiZiI6W3siYSI6ImNsaWMiLCJ0IjoibGluayIsImkiOiIyMTA5MzE2IiwiZCI6Imh0dHBzOi8vd3d3Lm1heW5vb3RodW5pdmVyc2l0eWludGVybmF0aW9uYWwuY29tL3Byb2dyYW1tZXMvbWFzdGVycy1kZWdyZWVzL21hLWFjY291bnRpbmcvIiwibCI6InJldmVudWUiLCJleCI6eyJwdCI6InAifX1dfQ%3D%3D&taps=null&duid=b1b6c146-8bcd-465f-8aa2-a49e450c426a&sid=42c6f1bb-f674-4cb7-b3ca-e5f6f370d3cd
397;.;London;Birkbeck, University of London;Investment Management - Master's Foundation Programme ;344;;;;;Finance, Management, Organisation & Leadership;14/09/2021;;;Pre-Master;On Campus;½ year;;5;.;.;English;On Campus, Blended;https://www.mastersportal.com/studies/299907/;This Investment Management - Master's Foundation Programme from ONCAMPUS London is designed to prepare international students for postgraduate study in the UK. ;https://sl.prtl.co/track/click/?target=https%3A%2F%2Fstudy.oncampus.global%2Flondon-mfp%2F&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIyOTk5MDciLCJkIjoiSW52ZXN0bWVudCBNYW5hZ2VtZW50IC0gTWFzdGVyJ3MgRm91bmRhdGlvbiBQcm9ncmFtbWUiLCJsIjoicHJlbWl1bSJ9LCJzIjpudWxsLCJ1Ijp7ImkiOiIxNzIuMzAuOC4xMjEiLCJzIjoiZWVjMmYzMTAtYTIyZi00MjA1LWExNmMtNDJhYTBjZjVmYzc0IiwibCI6ImVuLUdCIiwiYyI6ImRlIn0sImYiOlt7ImEiOiJjbGljIiwidCI6ImxpbmsiLCJpIjoiMjE1NjgwNyIsImQiOiJodHRwczovL3N0dWR5Lm9uY2FtcHVzLmdsb2JhbC9sb25kb24tbWZwLyIsImwiOiJyZXZlbnVlIiwiZXgiOnsicHQiOiJwIn19XX0%3D&taps=null&duid=b1b6c146-8bcd-465f-8aa2-a49e450c426a&sid=42c6f1bb-f674-4cb7-b3ca-e5f6f370d3cd
398;.;Coventry;Coventry University;Financial Risk Management - Master's Qualifying Programme ;541;;;;;Finance, Management, Organisation & Leadership, Risk Management;22/03/2021;;;Pre-Master;On Campus;3 months;;5;.;.;English;On Campus, Blended;https://www.mastersportal.com/studies/299758/;The Financial Risk Management - Master's Qualifying Programme from ONCAMPUS Coventry is available as a one, two or three-term programme, with progression opportunity to a wide range of Master’s degrees at Coventry University. You will study your Master's programme at our state-of-the-art Centre located at the heart of the Coventry University campus.;https://sl.prtl.co/track/click/?target=https%3A%2F%2Fstudy.oncampus.global%2Fcoventry-mqp%2F&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIyOTk3NTgiLCJkIjoiRmluYW5jaWFsIFJpc2sgTWFuYWdlbWVudCAtIE1hc3RlcidzIFF1YWxpZnlpbmcgUHJvZ3JhbW1lIiwibCI6InByZW1pdW0ifSwicyI6bnVsbCwidSI6eyJpIjoiMTcyLjMwLjguMTIxIiwicyI6ImVlYzJmMzEwLWEyMmYtNDIwNS1hMTZjLTQyYWEwY2Y1ZmM3NCIsImwiOiJlbi1HQiIsImMiOiJkZSJ9LCJmIjpbeyJhIjoiY2xpYyIsInQiOiJsaW5rIiwiaSI6IjIxNTY2NTgiLCJkIjoiaHR0cHM6Ly9zdHVkeS5vbmNhbXB1cy5nbG9iYWwvY292ZW50cnktbXFwLyIsImwiOiJyZXZlbnVlIiwiZXgiOnsicHQiOiJwIn19XX0%3D&taps=null&duid=b1b6c146-8bcd-465f-8aa2-a49e450c426a&sid=42c6f1bb-f674-4cb7-b3ca-e5f6f370d3cd
153;.;Tucson;University of Arizona;Finance - Accelerated Master's Program ;101;16.610,00 €;year ;;;Business Administration, Finance;23/08/2021;15/05/2021;113;M.Sc.;On Campus;1 year;;;.;.;English;36 alternative credits;https://www.mastersportal.com/studies/299336/;The Finance - Accelerated Master's Program from University of Arizona requires 36 credit hours of graduate coursework in Finance (i.e., 12 500-level finance courses). Graduation for AMP-MSF students starting in the fall of their BSBA-Finance senior year is intended to be May of the following year.;https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.studyatuniversityofarizona.com%2Fprograms%2Fmaster-degrees%2Fmsc-finance-accelerated-masters-program%2F&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIyOTkzMzYiLCJkIjoiRmluYW5jZSAtIEFjY2VsZXJhdGVkIE1hc3RlcidzIFByb2dyYW0iLCJsIjoicHJlbWl1bSJ9LCJzIjpudWxsLCJ1Ijp7ImkiOiIxNzIuMzAuOC4xMjEiLCJzIjoiNDFlY2ZkNmItMDI3ZS00YjYxLWEwMDYtNmU5ZjFjOTUyM2FmIiwibCI6ImVuLUdCIiwiYyI6ImRlIn0sImYiOlt7ImEiOiJjbGljIiwidCI6ImxpbmsiLCJpIjoiMjE1NjE2OCIsImQiOiJodHRwczovL3d3dy5zdHVkeWF0dW5pdmVyc2l0eW9mYXJpem9uYS5jb20vcHJvZ3JhbXMvbWFzdGVyLWRlZ3JlZXMvbXNjLWZpbmFuY2UtYWNjZWxlcmF0ZWQtbWFzdGVycy1wcm9ncmFtLyIsImwiOiJyZXZlbnVlIiwiZXgiOnsicHQiOiJwIn19XX0%3D&taps=null&duid=efb600d3-9237-4e3c-b5ed-7eb308adc0bc&sid=64bf217e-2e56-429a-93b0-b44ad45f0229
400;Spain;Barcelona;GBSB Global Business School;Finance ;;15050;full;;;Business Administration, Finance, Master in Business Administration (MBA);13/04/2021;;;M.B.A.;Online;10 months;79;6;.;.;English;90 ECTS;https://www.mastersportal.com/studies/292284/;The curriculum of the Online MBA in Finance from GBSB Global Business School explores a variety of fundamental topics in banking, company evaluations, accounting, and financial analysis. ;https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.global-business-school.org%2Finfo%2Fprogram_description%2Fmba%2Fmenu%2Fmba-finance-online%3Futm_source%3Dstudyportals%26utm_medium%3Dlink&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIyOTIyODQiLCJkIjoiRmluYW5jZSIsImwiOiJwcmVtaXVtIn0sInMiOm51bGwsInUiOnsiaSI6IjE3Mi4zMC44LjEyMSIsInMiOiJlZWMyZjMxMC1hMjJmLTQyMDUtYTE2Yy00MmFhMGNmNWZjNzQiLCJsIjoiZW4tR0IiLCJjIjoiZGUifSwiZiI6W3siYSI6ImNsaWMiLCJ0IjoibGluayIsImkiOiIyMTQ3ODYzIiwiZCI6Imh0dHBzOi8vd3d3Lmdsb2JhbC1idXNpbmVzcy1zY2hvb2wub3JnL2luZm8vcHJvZ3JhbV9kZXNjcmlwdGlvbi9tYmEvbWVudS9tYmEtZmluYW5jZS1vbmxpbmU%2FdXRtX3NvdXJjZT1zdHVkeXBvcnRhbHMmdXRtX21lZGl1bT1saW5rIiwibCI6InJldmVudWUiLCJleCI6eyJwdCI6InAifX1dfQ%3D%3D&taps=null&duid=b1b6c146-8bcd-465f-8aa2-a49e450c426a&sid=42c6f1bb-f674-4cb7-b3ca-e5f6f370d3cd
169;Netherlands;Amsterdam;Vrije Universiteit Amsterdam;Econometrics and Operations Research - Financial Engineering ;101;2.168,00 €;year;;;Finance, Econometrics, General Engineering & Technology;01/09/2021;01/06/2021;130;M.Sc.;On Campus;1 year;92;6,5;.;.;English;60 ECTS;https://www.mastersportal.com/studies/200816/;The Econometrics and Operations Research - Financial Engineering specialisation from Vrije Universiteit Amsterdam provides you with advanced qualifications in operations research and finance, from the management of financial portfolios to risk analysis in financial markets.;https://sl.prtl.co/track/click/?target=https%3A%2F%2Fvuweb.vu.nl%2Fen%2Feducation%2Fmaster%2Feconometrics-and-operations-research%2Fcurriculum%3Fyear%3D1st-year%26specialization%3Dfinancial-engineering%26utm_source%3Dmastersportal%26utm_medium%3Dcpc%26utm_campaign%3Dbaseline&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIyMDA4MTYiLCJkIjoiRWNvbm9tZXRyaWNzIGFuZCBPcGVyYXRpb25zIFJlc2VhcmNoIC0gRmluYW5jaWFsIEVuZ2luZWVyaW5nIiwibCI6InByZW1pdW0ifSwicyI6bnVsbCwidSI6eyJpIjoiMTcyLjMwLjguMTIxIiwicyI6ImZlZWI4OTlkLTllMmItNDBjMy04MmVhLTI3ZjMyMjE5YmMxZiIsImwiOiJlbi1HQiIsImMiOiJkZSJ9LCJmIjpbeyJhIjoiY2xpYyIsInQiOiJsaW5rIiwiaSI6IjIwNDU5MjkiLCJkIjoiaHR0cHM6Ly92dXdlYi52dS5ubC9lbi9lZHVjYXRpb24vbWFzdGVyL2Vjb25vbWV0cmljcy1hbmQtb3BlcmF0aW9ucy1yZXNlYXJjaC9jdXJyaWN1bHVtP3llYXI9MXN0LXllYXImc3BlY2lhbGl6YXRpb249ZmluYW5jaWFsLWVuZ2luZWVyaW5nJnV0bV9zb3VyY2U9bWFzdGVyc3BvcnRhbCZ1dG1fbWVkaXVtPWNwYyZ1dG1fY2FtcGFpZ249YmFzZWxpbmUiLCJsIjoicmV2ZW51ZSIsImV4Ijp7InB0IjoicCJ9fV19&taps=null&duid=26ffee11-3881-4b56-bc35-e28881fcef0f&sid=8c5e333c-f4bc-4060-b50f-e10f0101981e
402;.;Redhill;University of Reading;Accounting and Finance - Master's Foundation Programme ;201;;;;;Business Administration, Finance, Accounting;21/09/2021;;;Pre-Master;On Campus;9 months;;7;.;.;English;On Campus, Blended;https://www.mastersportal.com/studies/299725/;This Accounting and Finance - Master's Foundation Programme from ONCAMPUS Reading is designed to prepare international students, who have completed a Bachelor's degree, for entry to postgraduate studies at the University of Reading. ;https://sl.prtl.co/track/click/?target=https%3A%2F%2Fstudy.oncampus.global%2Freading-mfp%2F&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIyOTk3MjUiLCJkIjoiQWNjb3VudGluZyBhbmQgRmluYW5jZSAtIE1hc3RlcidzIEZvdW5kYXRpb24gUHJvZ3JhbW1lIiwibCI6InByZW1pdW0ifSwicyI6bnVsbCwidSI6eyJpIjoiMTcyLjMwLjguMTIxIiwicyI6ImYyMzcwYjdjLTM4M2MtNGM4Zi1hZTkyLWNmOTE5ZmIyZTVjNyIsImwiOiJlbi1HQiIsImMiOiJkZSJ9LCJmIjpbeyJhIjoiY2xpYyIsInQiOiJsaW5rIiwiaSI6IjIxNTY2MjUiLCJkIjoiaHR0cHM6Ly9zdHVkeS5vbmNhbXB1cy5nbG9iYWwvcmVhZGluZy1tZnAvIiwibCI6InJldmVudWUiLCJleCI6eyJwdCI6InAifX1dfQ%3D%3D&taps=null&duid=25f2e7e0-a797-43e0-b5dd-7d3bdb7bf8cc&sid=2c566d11-a309-4447-82ba-412e0dbe37d1
174;Ireland;Dublin;Trinity College Dublin;Finance ;101;17.600,00 €;year;;;Business Administration, Finance;21/09/2021;;;M.Sc.;On Campus;1 year;88;6,5;   Required   ;.;English;140 ECTS;https://www.mastersportal.com/studies/3284/;Ranked 1st in Ireland and 27th in the world by the 2020 Financial Times Masters in Finance (pre-experience), this specialist programme from Trinity College Dublin is designed for students who wish to develop their careers in the financial services arena.;https://sl.prtl.co/track/click/?target=https%3A%2F%2Ftcd-business.com%2Ffinance-msc%2F&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIzMjg0IiwiZCI6IkZpbmFuY2UiLCJsIjoicHJlbWl1bSJ9LCJzIjpudWxsLCJ1Ijp7ImkiOiIxNzIuMzAuOC4xMjEiLCJzIjoiNmE5MzU4YjItMWVhNy00NTlkLWI1YWMtMzg4YTVlNjNmZmMzIiwibCI6ImVuLUdCIiwiYyI6ImRlIn0sImYiOlt7ImEiOiJjbGljIiwidCI6ImxpbmsiLCJpIjoiMTk5NjY0MCIsImQiOiJodHRwczovL3RjZC1idXNpbmVzcy5jb20vZmluYW5jZS1tc2MvIiwibCI6InJldmVudWUiLCJleCI6eyJwdCI6InAifX1dfQ%3D%3D&taps=null&duid=2dcd9dc9-0833-4410-b8a9-524bbc33278b&sid=52a55878-cacd-4593-bb3d-28c520d2cbdf
404;.;Preston;University of Central Lancashire (UCLan);Ceramics ;801;7787;year;;;Finance, Liberal Arts;21/09/2021;;;M.A.;On Campus;1 year;;6,5;.;.;English;120 alternative credits;https://www.mastersportal.com/studies/60268/;The MA Ceramics course from University of Central Lancashire (UCLan) is a challenging course that embraces the unique creative potential of clay and diversity of opportunities within ceramics.;https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.uclan-international.co.uk%2Fprogrammes%2Fmaster-programmes%2Fma-in-ceramics%2F&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiI2MDI2OCIsImQiOiJDZXJhbWljcyIsImwiOiJwcmVtaXVtIn0sInMiOm51bGwsInUiOnsiaSI6IjE3Mi4zMC44LjEyMSIsInMiOiJmMjM3MGI3Yy0zODNjLTRjOGYtYWU5Mi1jZjkxOWZiMmU1YzciLCJsIjoiZW4tR0IiLCJjIjoiZGUifSwiZiI6W3siYSI6ImNsaWMiLCJ0IjoibGluayIsImkiOiIxOTQzMjAwIiwiZCI6Imh0dHBzOi8vd3d3LnVjbGFuLWludGVybmF0aW9uYWwuY28udWsvcHJvZ3JhbW1lcy9tYXN0ZXItcHJvZ3JhbW1lcy9tYS1pbi1jZXJhbWljcy8iLCJsIjoicmV2ZW51ZSIsImV4Ijp7InB0IjoicCJ9fV19&taps=null&duid=25f2e7e0-a797-43e0-b5dd-7d3bdb7bf8cc&sid=2c566d11-a309-4447-82ba-412e0dbe37d1
212;Ireland;Dublin;Trinity College Dublin;Financial Risk Management ;101;17.600,00 €;year;;;Finance, Risk Management, Actuarial Science;28/09/2021;;;M.Sc.;On Campus;1 year;88;6,5;   Required   ;.;English;100 ECTS;https://www.mastersportal.com/studies/155885/;The MSc in Financial Risk Management at Trinity College Dublin introduces you to the tools and skills of modern financial risk management, maximising your career potential in this exciting industry.;https://sl.prtl.co/track/click/?target=https%3A%2F%2Ftcd-business.com%2Ffinancial-risk-management-msc%2F&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIxNTU4ODUiLCJkIjoiRmluYW5jaWFsIFJpc2sgTWFuYWdlbWVudCIsImwiOiJwcmVtaXVtIn0sInMiOm51bGwsInUiOnsiaSI6IjE3Mi4zMC44LjEyMSIsInMiOiIyYmI4MWMxZi1lOThlLTRhZTktODI1MC0wOTQxYTRlNTMzZWUiLCJsIjoiZW4tR0IiLCJjIjoiZGUifSwiZiI6W3siYSI6ImNsaWMiLCJ0IjoibGluayIsImkiOiIxOTk2MjYwIiwiZCI6Imh0dHBzOi8vdGNkLWJ1c2luZXNzLmNvbS9maW5hbmNpYWwtcmlzay1tYW5hZ2VtZW50LW1zYy8iLCJsIjoicmV2ZW51ZSIsImV4Ijp7InB0IjoicCJ9fV19&taps=null&duid=2d88374b-ff2a-4e2c-b026-90006a841ad7&sid=06b83060-cd92-42a1-95f9-02fe92cded41
406;.;London;Birkbeck, University of London;Master's Foundation Programme - Business, Economics, Finance and Management ;344;;;;;Economics, Business Administration, Finance;14/09/2021;;;Pre-Master;On Campus;½ year;;5;.;.;English;On Campus, Blended;https://www.mastersportal.com/studies/299821/;This Master's Foundation Programme - Business, Economics, Finance and Management from ONCAMPUS London is designed to prepare international students for postgraduate study in the UK. ;https://sl.prtl.co/track/click/?target=https%3A%2F%2Fstudy.oncampus.global%2Flondon-mfp%2F&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIyOTk4MjEiLCJkIjoiTWFzdGVyJ3MgRm91bmRhdGlvbiBQcm9ncmFtbWUgLSBCdXNpbmVzcywgRWNvbm9taWNzLCBGaW5hbmNlIGFuZCBNYW5hZ2VtZW50IiwibCI6InByZW1pdW0ifSwicyI6bnVsbCwidSI6eyJpIjoiMTcyLjMwLjguMTIxIiwicyI6ImYyMzcwYjdjLTM4M2MtNGM4Zi1hZTkyLWNmOTE5ZmIyZTVjNyIsImwiOiJlbi1HQiIsImMiOiJkZSJ9LCJmIjpbeyJhIjoiY2xpYyIsInQiOiJsaW5rIiwiaSI6IjIxNTY3MjAiLCJkIjoiaHR0cHM6Ly9zdHVkeS5vbmNhbXB1cy5nbG9iYWwvbG9uZG9uLW1mcC8iLCJsIjoicmV2ZW51ZSIsImV4Ijp7InB0IjoicCJ9fV19&taps=null&duid=25f2e7e0-a797-43e0-b5dd-7d3bdb7bf8cc&sid=2c566d11-a309-4447-82ba-412e0dbe37d1
213;.;Tucson;University of Arizona;Finance ;101;16.539,00 €;year ;;;Economics, Business Administration, Finance;23/08/2021;01/02/2021;10;M.Sc.;On Campus;1 year;98;7;     600      ;   Required   ;English;On Campus;https://www.mastersportal.com/studies/82276/;The Master of Science in Finance degree offered by the University of Arizona requires 36 credit hours of graduate coursework in Finance (either 10 courses plus a 6 credit hour project, completed in pairs, or 12 courses).;https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.studyatuniversityofarizona.com%2Fprograms%2Fmaster-degrees%2Fmsc-finance%2F&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiI4MjI3NiIsImQiOiJGaW5hbmNlIiwibCI6InByZW1pdW0ifSwicyI6bnVsbCwidSI6eyJpIjoiMTcyLjMwLjguMTIxIiwicyI6IjJiYjgxYzFmLWU5OGUtNGFlOS04MjUwLTA5NDFhNGU1MzNlZSIsImwiOiJlbi1HQiIsImMiOiJkZSJ9LCJmIjpbeyJhIjoiY2xpYyIsInQiOiJsaW5rIiwiaSI6IjE4NTgzOTciLCJkIjoiaHR0cHM6Ly93d3cuc3R1ZHlhdHVuaXZlcnNpdHlvZmFyaXpvbmEuY29tL3Byb2dyYW1zL21hc3Rlci1kZWdyZWVzL21zYy1maW5hbmNlLyIsImwiOiJyZXZlbnVlIiwiZXgiOnsicHQiOiJwIn19XX0%3D&taps=null&duid=2d88374b-ff2a-4e2c-b026-90006a841ad7&sid=06b83060-cd92-42a1-95f9-02fe92cded41
408;.;Redhill;University of Reading;Capital Markets, Regulation and Compliance - Master's Foundation Programme ;201;;;;;Finance, Marketing;21/09/2021;;;Pre-Master;On Campus;9 months;;7;.;.;English;On Campus, Blended;https://www.mastersportal.com/studies/299732/;This Capital Markets, Regulation and Compliance - Master's Foundation Programme from ONCAMPUS Reading is designed to prepare international students, who have completed a Bachelor's degree, for entry to postgraduate studies at the University of Reading. ;https://sl.prtl.co/track/click/?target=https%3A%2F%2Fstudy.oncampus.global%2Freading-mfp%2F&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIyOTk3MzIiLCJkIjoiQ2FwaXRhbCBNYXJrZXRzLCBSZWd1bGF0aW9uIGFuZCBDb21wbGlhbmNlIC0gTWFzdGVyJ3MgRm91bmRhdGlvbiBQcm9ncmFtbWUiLCJsIjoicHJlbWl1bSJ9LCJzIjpudWxsLCJ1Ijp7ImkiOiIxNzIuMzAuOC4xMjEiLCJzIjoiZjIzNzBiN2MtMzgzYy00YzhmLWFlOTItY2Y5MTlmYjJlNWM3IiwibCI6ImVuLUdCIiwiYyI6ImRlIn0sImYiOlt7ImEiOiJjbGljIiwidCI6ImxpbmsiLCJpIjoiMjE1NjYzMSIsImQiOiJodHRwczovL3N0dWR5Lm9uY2FtcHVzLmdsb2JhbC9yZWFkaW5nLW1mcC8iLCJsIjoicmV2ZW51ZSIsImV4Ijp7InB0IjoicCJ9fV19&taps=null&duid=25f2e7e0-a797-43e0-b5dd-7d3bdb7bf8cc&sid=2c566d11-a309-4447-82ba-412e0dbe37d1
266;Netherlands;Amsterdam;Vrije Universiteit Amsterdam;Business Administration - Financial Management ;101;2.168,00 €;year;;;Business Administration, Finance;01/09/2021;01/06/2021;130;M.Sc.;On Campus;1 year;92;6,5;.;.;English;On Campus;https://www.mastersportal.com/studies/304009/;If you are curious about the ins and outs of this ‘game’, about the companies active in business services and about the people who work for them, then Business Administration - Financial Management at Vrije Universiteit Amsterdam is the Master’s programme for you. ;https://sl.prtl.co/track/click/?target=https%3A%2F%2Fvuweb.vu.nl%2Fen%2Feducation%2Fmaster%2Fbusiness-administration%2Fcurriculum%3Fyear%3D1st-year%26amp%253Bspecialization%3Dfinancial-management%252F%253Futm_source%253Dmastersportal%26utm_medium%3Dcpc%26utm_campaign%3Dbaseline&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIzMDQwMDkiLCJkIjoiQnVzaW5lc3MgQWRtaW5pc3RyYXRpb24gLSBGaW5hbmNpYWwgTWFuYWdlbWVudCIsImwiOiJwcmVtaXVtIn0sInMiOm51bGwsInUiOnsiaSI6IjE3Mi4zMC44LjEyMSIsInMiOiI2MWUxMzU2Yi1iZTIxLTQ1MmItYjk0MC02YTAyZTZhZTNhMjUiLCJsIjoiZW4tR0IiLCJjIjoiZGUifSwiZiI6W3siYSI6ImNsaWMiLCJ0IjoibGluayIsImkiOiIyMTYxMzMwIiwiZCI6Imh0dHBzOi8vdnV3ZWIudnUubmwvZW4vZWR1Y2F0aW9uL21hc3Rlci9idXNpbmVzcy1hZG1pbmlzdHJhdGlvbi9jdXJyaWN1bHVtP3llYXI9MXN0LXllYXImYW1wJTNCc3BlY2lhbGl6YXRpb249ZmluYW5jaWFsLW1hbmFnZW1lbnQlMkYlM0Z1dG1fc291cmNlJTNEbWFzdGVyc3BvcnRhbCZ1dG1fbWVkaXVtPWNwYyZ1dG1fY2FtcGFpZ249YmFzZWxpbmUiLCJsIjoicmV2ZW51ZSIsImV4Ijp7InB0IjoicCJ9fV19&taps=null&duid=6febc806-c770-4fc7-bb46-ded4163f4538&sid=fa5cc0f7-80a2-401e-aba5-2923e38f5989
